element,pc1_loading,pc2_loading
沢,0.5224024298146688,0.23867487015713765
谷,0.15594577233238577,-0.16709603617846183
原,0.0829357537218343,-0.1798776517564381
浜,0.017631562790271345,-0.22790486545675245
浦,0.08135732988159512,-0.36086306051292505
崎,0.1893601188587098,-0.2944537104352344
埼,-0.01989436534801787,-0.019710747012107337
森,0.3297264220282421,-0.20975654929216053
野,0.07549699666434,0.04112320952968418
岡,0.18123043448349696,-0.10666541041278985
窪,0.09278970339855225,0.0898645819285263
迫,0.11272121340045017,-0.06821270807370745
別,-0.18123518237227446,0.3199200711819076
幌,-0.1038464575738481,0.39863988907852066
内,0.24487025892656503,0.22425858928322734
峠,0.20678989522461724,0.1850304318402602
橋,0.0891431148028916,-0.1012253642765029
島,-0.0853991761288364,-0.16279422483834624
池,0.07291039374179356,-0.22708502646728354
滝,0.11518123005403014,0.14224597173338127
瀬,0.028384148873463615,-0.2211992752876282
塚,0.07157947177965628,-0.07049804648255473
館,0.4222106358189341,0.13754940860471682
舘,0.34607590158724,0.12863956335025564
